,district,school,hawkercentre,supermarkets
0,11,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE', 'WHITLEY SECONDARY SCHOOL', 'BENDEMEER SECONDARY SCHOOL', 'SERANGOON GARDEN SECONDARY SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", ""METHODIST GIRLS' SCHOOL (SECONDARY)"", 'SCHOOL OF THE ARTS, SINGAPORE', 'QUEENSWAY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'BEATTY SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'PRESBYTERIAN HIGH SCHOOL', 'YIO CHU KANG SECONDARY SCHOOL', ""CRESCENT GIRLS' SCHOOL"", 'PEICAI SECONDARY SCHOOL', 'QUEENSTOWN SECONDARY SCHOOL', ""NANYANG GIRLS' HIGH SCHOOL"", 'GEYLANG METHODIST SCHOOL (SECONDARY)', ""ST. ANDREW'S SECONDARY SCHOOL"", 'MAYFLOWER SECONDARY SCHOOL', 'OUTRAM SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'CATHOLIC HIGH SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', 'ANG MO KIO SECONDARY SCHOOL', 'ANDERSON SECONDARY SCHOOL', 'NEW TOWN SECONDARY SCHOOL', ""CHIJ ST. NICHOLAS GIRLS' SCHOOL"", ""ST. MARGARET'S SECONDARY SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'PEIRCE SECONDARY SCHOOL', 'GAN ENG SENG SCHOOL', 'DEYI SECONDARY SCHOOL', 'FAIRFIELD METHODIST SCHOOL (SECONDARY)', 'BARTLEY SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (INDEPENDENT)', 'RAFFLES INSTITUTION', 'HWA CHONG INSTITUTION', 'NATIONAL JUNIOR COLLEGE']",['Adam Road Food Centre'],"['ROSWELL ENTERPRISE PTE LTD', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'SWISS BUTCHERY (2013) PRIVATE LIMITED', 'NG LIAN TEE', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'L M MEAT PTE. LTD.']"
0,12,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'WHITLEY SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'SERANGOON GARDEN SECONDARY SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'MANJUSRI SECONDARY SCHOOL', 'BEATTY SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'YIO CHU KANG SECONDARY SCHOOL', 'PEICAI SECONDARY SCHOOL', 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', 'SERANGOON SECONDARY SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'MONTFORT SECONDARY SCHOOL', 'MAYFLOWER SECONDARY SCHOOL', 'OUTRAM SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'CATHOLIC HIGH SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'XINMIN SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", 'ANDERSON SECONDARY SCHOOL', 'ANG MO KIO SECONDARY SCHOOL', ""CEDAR GIRLS' SECONDARY SCHOOL"", ""ST. MARGARET'S SECONDARY SCHOOL"", 'DEYI SECONDARY SCHOOL', 'GAN ENG SENG SCHOOL', 'PEIRCE SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'HOUGANG SECONDARY SCHOOL', 'RAFFLES INSTITUTION', 'BROADRICK SECONDARY SCHOOL', 'BOWEN SECONDARY SCHOOL', ""HOLY INNOCENTS' HIGH SCHOOL""]","['Toa Payoh Lorong 5 Blk 75', 'Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre)', 'Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre)', 'Toa Payoh Lorong 4 Blk 93', 'Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market)', 'Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court)', 'Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market)', 'Bendemeer Road Blk 29 (Bendemeer Market and Food Centre)', 'Toa Payoh Lorong 8 Blk 210', 'Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre)']","['LIN POH LING', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'CAVEMEN PTE. LTD.']"
0,13,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'WHITLEY SECONDARY SCHOOL', 'HWA CHONG INSTITUTION', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'SERANGOON GARDEN SECONDARY SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'SCHOOL OF THE ARTS, SINGAPORE', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'MANJUSRI SECONDARY SCHOOL', 'BEATTY SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'PRESBYTERIAN HIGH SCHOOL', 'YIO CHU KANG SECONDARY SCHOOL', 'PEICAI SECONDARY SCHOOL', ""TANJONG KATONG GIRLS' SCHOOL"", ""NANYANG GIRLS' HIGH SCHOOL"", 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', 'MONTFORT SECONDARY SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'MAYFLOWER SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'CATHOLIC HIGH SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', 'TANJONG KATONG SECONDARY SCHOOL', 'XINMIN SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", 'ANDERSON SECONDARY SCHOOL', 'ANG MO KIO SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", ""CHIJ ST. NICHOLAS GIRLS' SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", ""ST. MARGARET'S SECONDARY SCHOOL"", 'DEYI SECONDARY SCHOOL', 'PEIRCE SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'NATIONAL JUNIOR COLLEGE', 'PING YI SECONDARY SCHOOL', 'RAFFLES INSTITUTION', 'BROADRICK SECONDARY SCHOOL', 'BOWEN SECONDARY SCHOOL', ""HOLY INNOCENTS' HIGH SCHOOL""]","['Circuit Road Blk 80 (80 Circuit Road Market and Food Centre)', 'Woodleigh Village Hawker Centre', 'Circuit Road Blk 79/79A', 'Circuit Road Blk 89']","['PRIME SUPERMARKET LIMITED', 'TAN PAK NANG', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD']"
0,14,"['NORTHLIGHT SCHOOL', 'JUNYUAN SECONDARY SCHOOL', 'DAMAI SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'CHIJ KATONG CONVENT', 'ZHONGHUA SECONDARY SCHOOL', 'VICTORIA SCHOOL', 'SCHOOL OF THE ARTS, SINGAPORE', 'MANJUSRI SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'ANGLICAN HIGH SCHOOL', 'TEMASEK SECONDARY SCHOOL', ""TANJONG KATONG GIRLS' SCHOOL"", ""ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL"", 'SPRINGFIELD SECONDARY SCHOOL', 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', ""ST. ANDREW'S SECONDARY SCHOOL"", 'BEDOK VIEW SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', ""ST. HILDA'S SECONDARY SCHOOL"", 'BEDOK GREEN SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'TANJONG KATONG SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""ST. PATRICK'S SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'TEMASEK JUNIOR COLLEGE', 'BARTLEY SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']","['Sims Place Blk 49 (Sims Vista Market and Food Centre)', 'Kallang Estate Fresh Market and Food Centre', 'Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre)', 'Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)', 'Geylang Serai Market', 'Eunos Crescent Blk 4A', 'Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre)']","['AZ SUPERMART PTE. LTD.', 'I-TEC SUPERMART PTE LTD', 'YEO HOCK HENG', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'PRB TRADING PTE. LTD.', 'VIVA CORP SERVICES PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'HAO MART PTE. LTD.', 'SF (313) PTE. LTD.', 'ABEDIN TRADING PTE. LTD.', 'B & S MINI MART PTE. LTD.', 'MOHAMAD DAMAR HULAN BIN OSMAN', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'EN FROZEN PTE LTD']"
0,15,"['DAMAI SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'CHIJ KATONG CONVENT', 'VICTORIA SCHOOL', 'MANJUSRI SECONDARY SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'ANGLICAN HIGH SCHOOL', 'TEMASEK SECONDARY SCHOOL', ""ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL"", ""TANJONG KATONG GIRLS' SCHOOL"", 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', ""ST. ANDREW'S SECONDARY SCHOOL"", 'BEDOK VIEW SECONDARY SCHOOL', 'BEDOK GREEN SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'TANJONG KATONG SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""ST. PATRICK'S SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'TEMASEK JUNIOR COLLEGE', 'BARTLEY SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']","['Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre)', 'Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre)', 'Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market)', 'Dunman Food Centre', 'Marine Terrace Blk 50A (50A Marine Terrace)']","['ZAC MEAT & POULTRY PTE LTD', 'THE FOODSPREE PTE LTD', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'CHEE MIN KUAN, SIMON', 'THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.', 'HAO MART PTE. LTD.', 'THE BUTCHER (SINGAPORE) PTE. LTD.', 'FOODIE MARKET PLACE PTE. LTD.', 'TANESEI RETAILING PTE. LTD.', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'JMD RETAIL PTE. LTD.', 'THE ALASKA GUYS PTE. LTD.', 'FOUR SEASONS ORGANIC MARKET PTE. LTD.']"
0,16,"['EAST SPRING SECONDARY SCHOOL', 'DUNMAN SECONDARY SCHOOL', 'JUNYUAN SECONDARY SCHOOL', 'DAMAI SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'BENDEMEER SECONDARY SCHOOL', 'CHIJ KATONG CONVENT', 'VICTORIA SCHOOL', 'TAMPINES SECONDARY SCHOOL', 'NGEE ANN SECONDARY SCHOOL', 'MANJUSRI SECONDARY SCHOOL', 'ANGLICAN HIGH SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'TEMASEK SECONDARY SCHOOL', ""ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL"", ""TANJONG KATONG GIRLS' SCHOOL"", 'SPRINGFIELD SECONDARY SCHOOL', 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', ""ST. ANDREW'S SECONDARY SCHOOL"", 'BEDOK VIEW SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', ""ST. HILDA'S SECONDARY SCHOOL"", 'BEDOK GREEN SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'PASIR RIS SECONDARY SCHOOL', 'TANJONG KATONG SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""ST. PATRICK'S SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'TEMASEK JUNIOR COLLEGE', 'BEDOK SOUTH SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'CHANGKAT CHANGI SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']","['Bedok North Street 1 Blk 216', 'Bedok North Street 3 Blk 538', 'Bedok Food Centre', 'Bedok Reservoir Road Blk 630', 'Bedok South Road Blk 16', 'New Upper Changi Road Blk 208B', 'East Coast Lagoon Food Village', 'Market Street Hawker Centre', 'Bedok North Street 4 Blk 85 (85 Fengshan Centre)', 'Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre)', 'New Upper Changi Road Blk 58', 'Market Street Interim Hawker Centre']","['PRIME SUPERMARKET LIMITED', 'PRIME SUPERMARKET (1996) PTE LTD', 'TANG KER AN, TIMOTHY', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'SONG FISH DEALER PTE LTD', 'TEO BOBBY', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'L M MEAT PTE. LTD.', 'CHUA & NG PTE. LTD.', 'MCP FAIRMART PTE LTD']"
0,17,"['MERIDIAN SECONDARY SCHOOL', 'EAST SPRING SECONDARY SCHOOL', 'DUNMAN SECONDARY SCHOOL', 'JUNYUAN SECONDARY SCHOOL', 'DAMAI SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (MAIN)', 'CHIJ KATONG CONVENT', 'VICTORIA SCHOOL', 'TAMPINES SECONDARY SCHOOL', 'NGEE ANN SECONDARY SCHOOL', 'MANJUSRI SECONDARY SCHOOL', 'ANGLICAN HIGH SCHOOL', 'HAI SING CATHOLIC SCHOOL', 'TEMASEK SECONDARY SCHOOL', ""ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL"", ""TANJONG KATONG GIRLS' SCHOOL"", 'LOYANG VIEW SECONDARY SCHOOL', 'SPRINGFIELD SECONDARY SCHOOL', 'DUNMAN HIGH SCHOOL', 'GEYLANG METHODIST SCHOOL (SECONDARY)', 'BEDOK VIEW SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', 'PASIR RIS CREST SECONDARY SCHOOL', ""ST. HILDA'S SECONDARY SCHOOL"", 'BEDOK GREEN SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'PASIR RIS SECONDARY SCHOOL', 'TANJONG KATONG SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""ST. PATRICK'S SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'TEMASEK JUNIOR COLLEGE', 'BEDOK SOUTH SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'CHANGKAT CHANGI SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', 'BROADRICK SECONDARY SCHOOL']","['Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre)', ""New Market Road Blk 32 (People's Park Food Centre)"", 'Smith Street Blk 335 (Chinatown Complex Market)', 'Changi Village Blk 2 and 3']","['HONG HENG SENG', 'JSJ CORPORATION PTE. LTD.', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'CP MANAGEMENT SERVICES PRIVATE LIMITED', 'WAN SIEW YOONG']"
0,18,"['MERIDIAN SECONDARY SCHOOL', 'EAST SPRING SECONDARY SCHOOL', 'DUNMAN SECONDARY SCHOOL', 'JUNYUAN SECONDARY SCHOOL', 'DAMAI SECONDARY SCHOOL', 'VICTORIA SCHOOL', 'TAMPINES SECONDARY SCHOOL', 'NGEE ANN SECONDARY SCHOOL', 'MANJUSRI SECONDARY SCHOOL', 'NORTH VISTA SECONDARY SCHOOL', 'ANGLICAN HIGH SCHOOL', 'HAI SING CATHOLIC SCHOOL', 'TEMASEK SECONDARY SCHOOL', ""ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL"", 'LOYANG VIEW SECONDARY SCHOOL', 'SPRINGFIELD SECONDARY SCHOOL', 'SERANGOON SECONDARY SCHOOL', 'BEDOK VIEW SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', 'PASIR RIS CREST SECONDARY SCHOOL', ""ST. HILDA'S SECONDARY SCHOOL"", 'BEDOK GREEN SECONDARY SCHOOL', 'PASIR RIS SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""ST. PATRICK'S SCHOOL"", 'TEMASEK JUNIOR COLLEGE', 'BEDOK SOUTH SECONDARY SCHOOL', 'CHANGKAT CHANGI SECONDARY SCHOOL', 'PING YI SECONDARY SCHOOL', ""HOLY INNOCENTS' HIGH SCHOOL""]","['Upper Cross Street Blk 531A (Hong Lim Food Centre and Market)', 'Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)', 'Pasir Ris Central Hawker Centre', 'Our Tampines Hub']","['PRIME SUPERMARKET LIMITED', 'U STARS SUPERMARKET PTE. LTD.', 'MAHOTA FOOD PTE. LTD.', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'SUZYAMEER FROZEN PTE. LTD.', 'SHAHUL HAMEED S/O ABDUSALAM', 'RAW MARKET PTE. LTD.', 'SONG FISH DEALER PTE LTD', 'U STARS PTE. LTD.', 'TANESEI RETAILING PTE. LTD.', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'YES SUPERMARKET PTE LTD']"
0,19,"['CHIJ SECONDARY (TOA PAYOH)', 'SENG KANG SECONDARY SCHOOL', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", ""CHIJ ST. JOSEPH'S CONVENT"", 'WHITLEY SECONDARY SCHOOL', 'JUNYUAN SECONDARY SCHOOL', 'COMPASSVALE SECONDARY SCHOOL', 'BENDEMEER SECONDARY SCHOOL', 'SERANGOON GARDEN SECONDARY SCHOOL', 'NAN CHIAU HIGH SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'PUNGGOL SECONDARY SCHOOL', 'GUANGYANG SECONDARY SCHOOL', 'GREENDALE SECONDARY SCHOOL', 'NORTH VISTA SECONDARY SCHOOL', 'EDGEFIELD SECONDARY SCHOOL', 'BEATTY SECONDARY SCHOOL', 'PRESBYTERIAN HIGH SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'YIO CHU KANG SECONDARY SCHOOL', 'PEICAI SECONDARY SCHOOL', 'PEI HWA SECONDARY SCHOOL', 'SERANGOON SECONDARY SCHOOL', 'MONTFORT SECONDARY SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'MAYFLOWER SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'CATHOLIC HIGH SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', 'XINMIN SECONDARY SCHOOL', 'ANG MO KIO SECONDARY SCHOOL', 'ANDERSON SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""CHIJ ST. NICHOLAS GIRLS' SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'DEYI SECONDARY SCHOOL', 'PEIRCE SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'HOUGANG SECONDARY SCHOOL', 'RAFFLES INSTITUTION', 'BOWEN SECONDARY SCHOOL', ""HOLY INNOCENTS' HIGH SCHOOL""]","['Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre)', 'Serangoon Garden Market', 'Ci Yuan Hawker Centre', 'Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre)', 'Chomp Chomp Food Centre']","['PRIME SUPERMARKET LIMITED', 'PRIME SUPERMARKET (1996) PTE LTD', 'ANG MO SUPERMARKET PTE LTD', 'TAN CHUAN BOON', 'U STARS SUPERMARKET PTE. LTD.', 'LIM KING CHEW', 'SIVAMANI MINIMART PTE LTD', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'ISYMI PTE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.', 'SARATHI STORES PTE LTD', 'TEO BOBBY', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.']"
0,20,"['CHIJ SECONDARY (TOA PAYOH)', ""RAFFLES GIRLS' SCHOOL (SECONDARY)"", 'NORTHLIGHT SCHOOL', 'WHITLEY SECONDARY SCHOOL', 'BENDEMEER SECONDARY SCHOOL', 'SERANGOON GARDEN SECONDARY SCHOOL', 'ZHONGHUA SECONDARY SCHOOL', 'CHUNG CHENG HIGH SCHOOL (YISHUN)', 'NAN CHIAU HIGH SCHOOL', 'GUANGYANG SECONDARY SCHOOL', ""ST. JOSEPH'S INSTITUTION"", 'NORTHBROOKS SECONDARY SCHOOL', 'NAVAL BASE SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (BARKER ROAD)', 'BEATTY SECONDARY SCHOOL', 'PRESBYTERIAN HIGH SCHOOL', ""ST. GABRIEL'S SECONDARY SCHOOL"", 'YIO CHU KANG SECONDARY SCHOOL', 'ORCHID PARK SECONDARY SCHOOL', 'PEICAI SECONDARY SCHOOL', 'PEI HWA SECONDARY SCHOOL', ""ST. ANDREW'S SECONDARY SCHOOL"", 'MONTFORT SECONDARY SCHOOL', 'MAYFLOWER SECONDARY SCHOOL', 'YUYING SECONDARY SCHOOL', 'MARIS STELLA HIGH SCHOOL', 'CATHOLIC HIGH SCHOOL', 'KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL', ""SINGAPORE CHINESE GIRLS' SCHOOL"", 'XINMIN SECONDARY SCHOOL', 'ANG MO KIO SECONDARY SCHOOL', 'ANDERSON SECONDARY SCHOOL', ""PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY)"", ""CHIJ ST. NICHOLAS GIRLS' SCHOOL"", ""CEDAR GIRLS' SECONDARY SCHOOL"", 'DEYI SECONDARY SCHOOL', 'PEIRCE SECONDARY SCHOOL', 'BARTLEY SECONDARY SCHOOL', 'HOUGANG SECONDARY SCHOOL', 'RAFFLES INSTITUTION', 'BOWEN SECONDARY SCHOOL']","['Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court)', 'Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market)', 'Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre)', 'Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre)', 'Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market)', 'Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre)', 'Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market)', 'Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square)', 'Shunfu Road Blk 320 (Shunfu Mart)', 'Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre)', 'Sembawang Hills Food Centre (Jalan Leban Food Centre)']","['NTUC FAIRPRICE CO-OPERATIVE LTD', 'HAO MART PTE. LTD.', 'SHENG SIONG SUPERMARKET PTE LTD', 'G8 MART PTE. LTD.', 'COLD STORAGE SINGAPORE (1983) PTE LTD']"
0,21,"['GREENRIDGE SECONDARY SCHOOL', 'DUNEARN SECONDARY SCHOOL', 'JURONG SECONDARY SCHOOL', 'SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE', 'ASSUMPTION ENGLISH SCHOOL', 'KRANJI SECONDARY SCHOOL', 'ASSUMPTION PATHWAY SCHOOL', 'BUKIT PANJANG GOVT. HIGH SCHOOL', ""METHODIST GIRLS' SCHOOL (SECONDARY)"", 'TANGLIN SECONDARY SCHOOL', 'WEST SPRING SECONDARY SCHOOL', 'BUKIT BATOK SECONDARY SCHOOL', 'CREST SECONDARY SCHOOL', 'NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE', 'NAN HUA HIGH SCHOOL', 'HUA YI SECONDARY SCHOOL', 'HILLGROVE SECONDARY SCHOOL', 'TECK WHYE SECONDARY SCHOOL', ""NANYANG GIRLS' HIGH SCHOOL"", 'YUSOF ISHAK SECONDARY SCHOOL', 'YUHUA SECONDARY SCHOOL', 'YUAN CHING SECONDARY SCHOOL', 'ZHENGHUA SECONDARY SCHOOL', 'BUKIT VIEW SECONDARY SCHOOL', 'KENT RIDGE SECONDARY SCHOOL', 'COMMONWEALTH SECONDARY SCHOOL', 'JURONGVILLE SECONDARY SCHOOL', 'NEW TOWN SECONDARY SCHOOL', ""ST. MARGARET'S SECONDARY SCHOOL"", 'FAJAR SECONDARY SCHOOL', 'REGENT SECONDARY SCHOOL', 'FAIRFIELD METHODIST SCHOOL (SECONDARY)', 'FUHUA SECONDARY SCHOOL', 'ANGLO-CHINESE SCHOOL (INDEPENDENT)', 'NATIONAL JUNIOR COLLEGE', 'UNITY SECONDARY SCHOOL', 'SWISS COTTAGE SECONDARY SCHOOL', 'CHUA CHU KANG SECONDARY SCHOOL', 'HWA CHONG INSTITUTION', 'CLEMENTI TOWN SECONDARY SCHOOL']",['Bukit Timah Market'],"['IROHA INTERNATIONAL PTE. LTD.', 'NTUC FAIRPRICE CO-OPERATIVE LTD', 'SEOUL BUTCHERY PTE. LTD.', 'ALTERNATIVE SELECTION PTE. LTD.', 'LAURELS FOODS SUPPLIERS PTE LTD', 'SONG FISH DEALER PTE LTD', 'COLD STORAGE SINGAPORE (1983) PTE LTD', 'LOTTE MART PTE. LTD.']"
