district_num,hwz_compound_sentiment,hwz_comment_count,year
21,0.0,0,2018
1,0.560225,8,2018
2,0.6866,1,2018
3,0.4981358974358975,39,2018
4,0.5044827586206896,29,2018
5,0.3777049180327869,61,2018
6,0.9392,1,2018
7,0.2329090909090909,11,2018
8,0.5272,6,2018
9,-0.0008699999999999986,10,2018
10,0.5581437499999999,16,2018
11,0.2364666666666667,12,2018
12,0.33240806451612914,124,2018
13,0.4313411764705883,51,2018
14,0.27255867346938784,196,2018
15,0.5744199999999999,5,2018
16,0.4076222222222222,36,2018
17,0.2658384615384615,39,2018
18,0.2811260736196319,326,2018
19,0.287341791044776,536,2018
20,0.32321351351351346,37,2018
22,0.2376294117647059,68,2018
23,0.30568412698412706,63,2018
24,0.3828632653061225,49,2018
25,0.3264346938775513,98,2018
26,-0.3311,1,2018
27,0.25535882352941186,306,2018
28,0.22103333333333333,36,2018
1,0.5090880000000001,25,2019
2,0.5563666666666666,3,2019
3,0.5150657142857141,35,2019
4,0.6240613333333332,75,2019
5,0.35006562499999994,160,2019
6,-0.1546,3,2019
7,0.3808416666666667,12,2019
8,0.739875,4,2019
9,0.3096927272727273,55,2019
10,0.4610639175257732,97,2019
11,0.3567372093023256,86,2019
12,0.29017671232876713,146,2019
13,0.3952962962962964,54,2019
14,0.4140865168539327,89,2019
15,0.6890229166666667,48,2019
16,0.5695062499999998,64,2019
17,0.5042058252427185,103,2019
18,0.40416340110905696,541,2019
19,0.39726188271604895,648,2019
20,0.3781258620689655,116,2019
21,0.5074500000000001,6,2019
22,0.3687716666666667,60,2019
23,0.3019963636363636,55,2019
24,0.3584049180327869,61,2019
25,0.4864471698113208,53,2019
26,0.2458555555555556,18,2019
27,0.3732077777777778,180,2019
28,0.6369470588235294,17,2019
1,0.3934786516853929,178,2020
2,0.543968,50,2020
3,0.4300970731707317,205,2020
4,0.3275940366972477,218,2020
5,0.4562541838134429,715,2020
6,0.44803513513513504,37,2020
7,0.465340606060606,165,2020
8,0.3336169230769231,65,2020
9,0.511517821782178,202,2020
10,0.40004554216867455,415,2020
11,0.4766451162790704,430,2020
12,0.3762909952606635,422,2020
13,0.3828430656934309,411,2020
14,0.4242363223609539,881,2020
15,0.4826473282442751,131,2020
16,0.4476946280991734,238,2020
17,0.4301544444444444,180,2020
18,0.43617690839694623,1042,2020
19,0.3745963001027748,973,2020
20,0.3660971619365609,599,2020
21,0.3989353846153847,65,2020
22,0.5105050420168065,234,2020
23,0.4038456928838948,267,2020
24,0.3405222466960351,454,2020
25,0.2798653061224491,388,2020
26,0.32732,15,2020
27,0.3436185941043085,437,2020
28,0.32417499999999994,32,2020
1,0.4552659090909091,44,2021
2,0.4044079999999999,25,2021
3,0.4885187499999998,48,2021
4,0.29010571428571424,105,2021
5,0.4750496183206106,131,2021
6,-0.01776666666666667,3,2021
7,0.4529372549019608,51,2021
8,0.26932727272727275,11,2021
9,0.6557636363636364,22,2021
10,0.45285,44,2021
11,0.4676599999999999,35,2021
12,0.26433432835820897,67,2021
13,0.2801555555555556,45,2021
14,0.15280652173913042,46,2021
15,0.3346857142857143,14,2021
16,0.2996533333333333,15,2021
17,0.027360000000000013,15,2021
18,0.30022666666666675,120,2021
19,0.3590727272727274,110,2021
20,0.2328564102564102,39,2021
21,0.5928,8,2021
22,0.4459952380952383,42,2021
23,0.2358767857142857,56,2021
24,0.4166857142857143,21,2021
25,0.3842714285714286,35,2021
26,0.8221,1,2021
27,0.25846222222222226,45,2021
28,0.4032818181818181,11,2021
