Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,0.01,0.61,0.4392620013005188
75% Corpus,9,0.01,0.9099999999999999,0.43563618916149366
75% Corpus,9,0.01,symmetric,0.4681740233336618
75% Corpus,9,0.31,0.01,0.45935369728039344
75% Corpus,9,0.31,0.31,0.454760133717572
75% Corpus,9,0.31,0.61,0.43063492599308123
75% Corpus,9,0.31,0.9099999999999999,0.42831774466143024
75% Corpus,9,0.31,symmetric,0.45873267768273135
75% Corpus,9,0.61,0.01,0.46596465589706376
75% Corpus,9,0.61,0.31,0.46120722670060516
75% Corpus,9,0.61,0.61,0.4676278449084321
75% Corpus,9,0.61,0.9099999999999999,0.4728349598706182
75% Corpus,9,0.61,symmetric,0.4526277177624073
75% Corpus,9,0.9099999999999999,0.01,0.4738252955432831
75% Corpus,9,0.9099999999999999,0.31,0.4643701871078841
75% Corpus,9,0.9099999999999999,0.61,0.481975774771648
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.47594138260739816
75% Corpus,9,0.9099999999999999,symmetric,0.46806297675058695
75% Corpus,9,symmetric,0.01,0.4451288347145228
75% Corpus,9,symmetric,0.31,0.43975545123103277
75% Corpus,9,symmetric,0.61,0.43194450218132585
75% Corpus,9,symmetric,0.9099999999999999,0.4178203383783685
75% Corpus,9,symmetric,symmetric,0.4541345781628543
75% Corpus,9,asymmetric,0.01,0.44353529950791926
75% Corpus,9,asymmetric,0.31,0.43471192773134887
75% Corpus,9,asymmetric,0.61,0.4224695208994614
75% Corpus,9,asymmetric,0.9099999999999999,0.45798859999901853
75% Corpus,9,asymmetric,symmetric,0.4209342796012073
100% Corpus,3,0.01,0.01,0.43677975750532144
100% Corpus,3,0.01,0.31,0.4190560280658846
100% Corpus,3,0.01,0.61,0.4442815059076359
100% Corpus,3,0.01,0.9099999999999999,0.4313787990673617
100% Corpus,3,0.01,symmetric,0.4334270282650063
100% Corpus,3,0.31,0.01,0.4504195238915308
100% Corpus,3,0.31,0.31,0.43743750906766193
100% Corpus,3,0.31,0.61,0.44329483488141647
100% Corpus,3,0.31,0.9099999999999999,0.4279297766758736
100% Corpus,3,0.31,symmetric,0.443273857646095
100% Corpus,3,0.61,0.01,0.4335568378679244
100% Corpus,3,0.61,0.31,0.4267577077089162
100% Corpus,3,0.61,0.61,0.44112336740497854
100% Corpus,3,0.61,0.9099999999999999,0.44358837798254336
100% Corpus,3,0.61,symmetric,0.4353586235125861
100% Corpus,3,0.9099999999999999,0.01,0.43889935353291154
100% Corpus,3,0.9099999999999999,0.31,0.42343735600936866
100% Corpus,3,0.9099999999999999,0.61,0.4516949346894427
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.44551690926797116
100% Corpus,3,0.9099999999999999,symmetric,0.4237204453083258
100% Corpus,3,symmetric,0.01,0.43100224843321594
100% Corpus,3,symmetric,0.31,0.4383669980109391
100% Corpus,3,symmetric,0.61,0.4489472853000744
100% Corpus,3,symmetric,0.9099999999999999,0.45473986527154237
100% Corpus,3,symmetric,symmetric,0.4548913892205049
100% Corpus,3,asymmetric,0.01,0.43196243573943977
100% Corpus,3,asymmetric,0.31,0.45899990633066395
100% Corpus,3,asymmetric,0.61,0.3993992306782708
100% Corpus,3,asymmetric,0.9099999999999999,0.3897690069696118
100% Corpus,3,asymmetric,symmetric,0.43771006646400495
100% Corpus,4,0.01,0.01,0.4644905194286556
100% Corpus,4,0.01,0.31,0.45188868269657323
100% Corpus,4,0.01,0.61,0.45480408343608913
100% Corpus,4,0.01,0.9099999999999999,0.4508837187422856
100% Corpus,4,0.01,symmetric,0.4630203843374386
100% Corpus,4,0.31,0.01,0.45942259274114705
100% Corpus,4,0.31,0.31,0.4533513370198495
100% Corpus,4,0.31,0.61,0.4391050584994961
100% Corpus,4,0.31,0.9099999999999999,0.47457737375542863
100% Corpus,4,0.31,symmetric,0.47042645802549776
100% Corpus,4,0.61,0.01,0.4648305583219391
100% Corpus,4,0.61,0.31,0.45251195784573767
100% Corpus,4,0.61,0.61,0.4623743313365635
100% Corpus,4,0.61,0.9099999999999999,0.4477084237982342
100% Corpus,4,0.61,symmetric,0.4542114605745329
100% Corpus,4,0.9099999999999999,0.01,0.46723312856710925
100% Corpus,4,0.9099999999999999,0.31,0.4638209101873797
100% Corpus,4,0.9099999999999999,0.61,0.4744958164201038
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.4701663809314046
100% Corpus,4,0.9099999999999999,symmetric,0.4679871138099633
100% Corpus,4,symmetric,0.01,0.4662090775067429
100% Corpus,4,symmetric,0.31,0.46528216650944176
100% Corpus,4,symmetric,0.61,0.453769603982126
100% Corpus,4,symmetric,0.9099999999999999,0.4638621171062727
100% Corpus,4,symmetric,symmetric,0.45987941149441103
100% Corpus,4,asymmetric,0.01,0.45758047414537195
100% Corpus,4,asymmetric,0.31,0.4508997890127061
100% Corpus,4,asymmetric,0.61,0.42340889693921197
100% Corpus,4,asymmetric,0.9099999999999999,0.4208237700346519
100% Corpus,4,asymmetric,symmetric,0.44983409889888126
100% Corpus,5,0.01,0.01,0.447073517172451
100% Corpus,5,0.01,0.31,0.4424448760097378
100% Corpus,5,0.01,0.61,0.43418639305464846
100% Corpus,5,0.01,0.9099999999999999,0.4354491399220615
100% Corpus,5,0.01,symmetric,0.4354660504338085
100% Corpus,5,0.31,0.01,0.4460892378013729
100% Corpus,5,0.31,0.31,0.45065423739836524
100% Corpus,5,0.31,0.61,0.44147835055526763
100% Corpus,5,0.31,0.9099999999999999,0.43368472424554383
100% Corpus,5,0.31,symmetric,0.4176715047690499
100% Corpus,5,0.61,0.01,0.45612873362109985
100% Corpus,5,0.61,0.31,0.475205127645725
100% Corpus,5,0.61,0.61,0.4387947211639805
100% Corpus,5,0.61,0.9099999999999999,0.45856656981708427
100% Corpus,5,0.61,symmetric,0.44951248699585566
100% Corpus,5,0.9099999999999999,0.01,0.4612594541669246
100% Corpus,5,0.9099999999999999,0.31,0.45809239865750123
100% Corpus,5,0.9099999999999999,0.61,0.45304019582620425
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.44995190782785305
100% Corpus,5,0.9099999999999999,symmetric,0.48046945142715725
100% Corpus,5,symmetric,0.01,0.45285474059172237
100% Corpus,5,symmetric,0.31,0.4398367737176013
100% Corpus,5,symmetric,0.61,0.4423148652441654
100% Corpus,5,symmetric,0.9099999999999999,0.4361427802202419
100% Corpus,5,symmetric,symmetric,0.4641446844171925
100% Corpus,5,asymmetric,0.01,0.44454782677860855
100% Corpus,5,asymmetric,0.31,0.465113498623882
100% Corpus,5,asymmetric,0.61,0.4505901120377966
100% Corpus,5,asymmetric,0.9099999999999999,0.4359419618706958
100% Corpus,5,asymmetric,symmetric,0.4393171930415902
100% Corpus,6,0.01,0.01,0.46501076965687843
100% Corpus,6,0.01,0.31,0.42515712641400366
100% Corpus,6,0.01,0.61,0.41952285402574724
100% Corpus,6,0.01,0.9099999999999999,0.4075384883163244
100% Corpus,6,0.01,symmetric,0.4486300881416528
100% Corpus,6,0.31,0.01,0.47979283506339865
100% Corpus,6,0.31,0.31,0.4448244237499183
100% Corpus,6,0.31,0.61,0.459462008271875
100% Corpus,6,0.31,0.9099999999999999,0.4573530228800045
100% Corpus,6,0.31,symmetric,0.4328772460848491
100% Corpus,6,0.61,0.01,0.4824553050891194
100% Corpus,6,0.61,0.31,0.47938694097636764
100% Corpus,6,0.61,0.61,0.45257243829975285
100% Corpus,6,0.61,0.9099999999999999,0.4315036002746106
100% Corpus,6,0.61,symmetric,0.47657650928069223
100% Corpus,6,0.9099999999999999,0.01,0.4751808100777026
100% Corpus,6,0.9099999999999999,0.31,0.48610597445030845
100% Corpus,6,0.9099999999999999,0.61,0.4732203231469076
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.473883938255882
100% Corpus,6,0.9099999999999999,symmetric,0.4707214317290003
100% Corpus,6,symmetric,0.01,0.4454541974463388
100% Corpus,6,symmetric,0.31,0.444745772454529
100% Corpus,6,symmetric,0.61,0.4184219094891554
100% Corpus,6,symmetric,0.9099999999999999,0.39476618299968
100% Corpus,6,symmetric,symmetric,0.44464661619170753
100% Corpus,6,asymmetric,0.01,0.4333226558302947
100% Corpus,6,asymmetric,0.31,0.40930729320568204
100% Corpus,6,asymmetric,0.61,0.4201003071264075
100% Corpus,6,asymmetric,0.9099999999999999,0.45532064516509824
100% Corpus,6,asymmetric,symmetric,0.4301005537929869
100% Corpus,7,0.01,0.01,0.46709611423611647
100% Corpus,7,0.01,0.31,0.46881894382098704
100% Corpus,7,0.01,0.61,0.45750928543337543
100% Corpus,7,0.01,0.9099999999999999,0.4269848277381169
100% Corpus,7,0.01,symmetric,0.4552084402092143
100% Corpus,7,0.31,0.01,0.4454216042462526
100% Corpus,7,0.31,0.31,0.47429531923940826
100% Corpus,7,0.31,0.61,0.44754755915505423
100% Corpus,7,0.31,0.9099999999999999,0.45272671090883626
100% Corpus,7,0.31,symmetric,0.4606467157450772
100% Corpus,7,0.61,0.01,0.47710548246275863
100% Corpus,7,0.61,0.31,0.45408024882801906
100% Corpus,7,0.61,0.61,0.4621302341368026
100% Corpus,7,0.61,0.9099999999999999,0.4595626865076367
100% Corpus,7,0.61,symmetric,0.4715908083640693
100% Corpus,7,0.9099999999999999,0.01,0.4847012604422215
100% Corpus,7,0.9099999999999999,0.31,0.483385926878588
100% Corpus,7,0.9099999999999999,0.61,0.4317075164110757
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4647671932969309
100% Corpus,7,0.9099999999999999,symmetric,0.47579637698223687
100% Corpus,7,symmetric,0.01,0.4788203601863615
100% Corpus,7,symmetric,0.31,0.46537451097028393
100% Corpus,7,symmetric,0.61,0.46674287942187803
100% Corpus,7,symmetric,0.9099999999999999,0.43825345194033527
100% Corpus,7,symmetric,symmetric,0.4521269645164478
100% Corpus,7,asymmetric,0.01,0.4399787233849194
100% Corpus,7,asymmetric,0.31,0.4529790860774185
100% Corpus,7,asymmetric,0.61,0.45042276537048426
100% Corpus,7,asymmetric,0.9099999999999999,0.4574195746048283
100% Corpus,7,asymmetric,symmetric,0.4584980073054973
100% Corpus,8,0.01,0.01,0.42992947054350894
100% Corpus,8,0.01,0.31,0.4348480698171673
100% Corpus,8,0.01,0.61,0.4265789728873126
100% Corpus,8,0.01,0.9099999999999999,0.43503806706104053
100% Corpus,8,0.01,symmetric,0.4479400026335667
100% Corpus,8,0.31,0.01,0.4545632616796075
100% Corpus,8,0.31,0.31,0.44794333812148057
100% Corpus,8,0.31,0.61,0.42963265993407984
100% Corpus,8,0.31,0.9099999999999999,0.43811237181961016
100% Corpus,8,0.31,symmetric,0.4430424036102259
100% Corpus,8,0.61,0.01,0.44428585681517896
100% Corpus,8,0.61,0.31,0.4357540317191593
100% Corpus,8,0.61,0.61,0.44941249417221313
100% Corpus,8,0.61,0.9099999999999999,0.47321334695497785
100% Corpus,8,0.61,symmetric,0.4381100658771755
100% Corpus,8,0.9099999999999999,0.01,0.4659767771893492
100% Corpus,8,0.9099999999999999,0.31,0.4431247016678404
100% Corpus,8,0.9099999999999999,0.61,0.4505192401232922
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.45611185954105177
100% Corpus,8,0.9099999999999999,symmetric,0.4511812091669046
100% Corpus,8,symmetric,0.01,0.4503714338598043
100% Corpus,8,symmetric,0.31,0.42531136128440833
100% Corpus,8,symmetric,0.61,0.45161941113264487
100% Corpus,8,symmetric,0.9099999999999999,0.43591981388576706
100% Corpus,8,symmetric,symmetric,0.4524558104713141
100% Corpus,8,asymmetric,0.01,0.45781789798345013
100% Corpus,8,asymmetric,0.31,0.4574932326393033
100% Corpus,8,asymmetric,0.61,0.4516341060070933
100% Corpus,8,asymmetric,0.9099999999999999,0.4081774450298201
100% Corpus,8,asymmetric,symmetric,0.43023416606204073
100% Corpus,9,0.01,0.01,0.4419579029758619
100% Corpus,9,0.01,0.31,0.4435227766939654
100% Corpus,9,0.01,0.61,0.4235305604694962
100% Corpus,9,0.01,0.9099999999999999,0.4608185482029705
100% Corpus,9,0.01,symmetric,0.43410352011555603
100% Corpus,9,0.31,0.01,0.44437497189481995
100% Corpus,9,0.31,0.31,0.44782592646890645
100% Corpus,9,0.31,0.61,0.4865240445314418
100% Corpus,9,0.31,0.9099999999999999,0.43895811394237544
100% Corpus,9,0.31,symmetric,0.4364267392696639
100% Corpus,9,0.61,0.01,0.45607640617999556
100% Corpus,9,0.61,0.31,0.4375942671533065
100% Corpus,9,0.61,0.61,0.4434357398733916
100% Corpus,9,0.61,0.9099999999999999,0.4533764717614065
100% Corpus,9,0.61,symmetric,0.445560549040018
100% Corpus,9,0.9099999999999999,0.01,0.49472266627311157
100% Corpus,9,0.9099999999999999,0.31,0.48604679446810306
100% Corpus,9,0.9099999999999999,0.61,0.4737291362269235
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4860786314731817
100% Corpus,9,0.9099999999999999,symmetric,0.48846408106183653
100% Corpus,9,symmetric,0.01,0.44564612082202615
100% Corpus,9,symmetric,0.31,0.4180471462900845
100% Corpus,9,symmetric,0.61,0.4287334783708597
100% Corpus,9,symmetric,0.9099999999999999,0.44985208236217006
100% Corpus,9,symmetric,symmetric,0.44352632735754444
100% Corpus,9,asymmetric,0.01,0.4680020920494096
100% Corpus,9,asymmetric,0.31,0.44055880652204576
100% Corpus,9,asymmetric,0.61,0.46299728338486024
100% Corpus,9,asymmetric,0.9099999999999999,0.48454011314385603
100% Corpus,9,asymmetric,symmetric,0.4466602527708271
