Year,NPC,Offence,Number (Case),Neighbourhood,Postal,Number
2015,Bedok Police Division - Geylang NPC,Housebreaking,20, Geylang ,401094,20
2015,Bedok Police Division - Geylang NPC,Snatch Theft,7, Geylang ,401094,7
2015,Bedok Police Division - Geylang NPC,Theft Of Motor Vehicle,31, Geylang ,401094,31
2015,Bedok Police Division - Geylang NPC,Outrage Of Modesty,46, Geylang ,401094,46
2015,Bedok Police Division - Marine Parade NPC,Robbery,0, Marine Parade ,449296,0
2015,Bedok Police Division - Marine Parade NPC,Housebreaking,17, Marine Parade ,449296,17
2015,Bedok Police Division - Marine Parade NPC,Snatch Theft,3, Marine Parade ,449296,3
2015,Bedok Police Division - Marine Parade NPC,Theft Of Motor Vehicle,3, Marine Parade ,449296,3
2015,Bedok Police Division - Marine Parade NPC,Outrage Of Modesty,24, Marine Parade ,449296,24
2015,Bedok Police Division - Pasir Ris NPC,Robbery,1, Pasir Ris ,519457,1
2015,Bedok Police Division - Pasir Ris NPC,Housebreaking,4, Pasir Ris ,519457,4
2015,Bedok Police Division - Pasir Ris NPC,Snatch Theft,0, Pasir Ris ,519457,0
2015,Bedok Police Division - Pasir Ris NPC,Theft Of Motor Vehicle,6, Pasir Ris ,519457,6
2015,Bedok Police Division - Pasir Ris NPC,Outrage Of Modesty,22, Pasir Ris ,519457,22
2015,Bedok Police Division - Tampines NPC,Robbery,8, Tampines ,529682,8
2015,Bedok Police Division - Tampines NPC,Housebreaking,5, Tampines ,529682,5
2015,Bedok Police Division - Tampines NPC,Snatch Theft,4, Tampines ,529682,4
2015,Bedok Police Division - Tampines NPC,Theft Of Motor Vehicle,21, Tampines ,529682,21
2015,Bedok Police Division - Tampines NPC,Outrage Of Modesty,38, Tampines ,529682,38
2015,Jurong Police Division - Total,Robbery,12,[Total]Jurong Police Division - Total,-,12
2015,Jurong Police Division - Total,Housebreaking,61,[Total]Jurong Police Division - Total,-,61
2015,Jurong Police Division - Total,Snatch Theft,11,[Total]Jurong Police Division - Total,-,11
2015,Jurong Police Division - Total,Theft Of Motor Vehicle,83,[Total]Jurong Police Division - Total,-,83
2015,Jurong Police Division - Total,Outrage Of Modesty,288,[Total]Jurong Police Division - Total,-,288
2015,Jurong Police Division - Bukit Batok NPC,Robbery,0, Bukit Batok ,659840,0
2015,Jurong Police Division - Bukit Batok NPC,Housebreaking,7, Bukit Batok ,659840,7
2015,Jurong Police Division - Bukit Batok NPC,Snatch Theft,0, Bukit Batok ,659840,0
2015,Jurong Police Division - Bukit Batok NPC,Theft Of Motor Vehicle,3, Bukit Batok ,659840,3
2015,Jurong Police Division - Bukit Batok NPC,Outrage Of Modesty,44, Bukit Batok ,659840,44
2015,Jurong Police Division - Bukit Panjang NPC,Robbery,0, Bukit Panjang ,679005,0
2015,Jurong Police Division - Bukit Panjang NPC,Housebreaking,12, Bukit Panjang ,679005,12
2015,Jurong Police Division - Bukit Panjang NPC,Snatch Theft,1, Bukit Panjang ,679005,1
2015,Jurong Police Division - Bukit Panjang NPC,Theft Of Motor Vehicle,5, Bukit Panjang ,679005,5
2015,Jurong Police Division - Bukit Panjang NPC,Outrage Of Modesty,29, Bukit Panjang ,679005,29
2015,Jurong Police Division - Choa Chu Kang NPC,Robbery,2, Choa Chu Kang ,689286,2
2015,Jurong Police Division - Choa Chu Kang NPC,Housebreaking,11, Choa Chu Kang ,689286,11
2015,Jurong Police Division - Choa Chu Kang NPC,Snatch Theft,0, Choa Chu Kang ,689286,0
2015,Jurong Police Division - Choa Chu Kang NPC,Theft Of Motor Vehicle,15, Choa Chu Kang ,689286,15
2015,Jurong Police Division - Choa Chu Kang NPC,Outrage Of Modesty,52, Choa Chu Kang ,689286,52
2015,Jurong Police Division - Jurong West NPC,Robbery,0, Jurong West ,649818,0
2015,Jurong Police Division - Jurong West NPC,Housebreaking,14, Jurong West ,649818,14
2015,Jurong Police Division - Jurong West NPC,Snatch Theft,5, Jurong West ,649818,5
2015,Jurong Police Division - Jurong West NPC,Theft Of Motor Vehicle,19, Jurong West ,649818,19
2015,Jurong Police Division - Jurong West NPC,Outrage Of Modesty,40, Jurong West ,649818,40
2015,Jurong Police Division - Nanyang NPC,Robbery,3, Nanyang ,649482,3
2015,Jurong Police Division - Nanyang NPC,Housebreaking,3, Nanyang ,649482,3
2015,Jurong Police Division - Nanyang NPC,Snatch Theft,0, Nanyang ,649482,0
2015,Jurong Police Division - Nanyang NPC,Theft Of Motor Vehicle,13, Nanyang ,649482,13
2015,Jurong Police Division - Nanyang NPC,Outrage Of Modesty,45, Nanyang ,649482,45
2015,Jurong Police Division - Woodlands NPC,Robbery,na, Woodlands ,738070,0
2015,Jurong Police Division - Woodlands NPC,Housebreaking,na, Woodlands ,738070,0
2015,Jurong Police Division - Woodlands NPC,Snatch Theft,na, Woodlands ,738070,0
2015,Jurong Police Division - Woodlands NPC,Theft Of Motor Vehicle,na, Woodlands ,738070,0
2015,Jurong Police Division - Woodlands NPC,Outrage Of Modesty,na, Woodlands ,738070,0
2015,Jurong Police Division - Woodlands East NPC,Robbery,1, Woodlands East ,738070,1
2015,Jurong Police Division - Woodlands East NPC,Housebreaking,2, Woodlands East ,738070,2
2015,Jurong Police Division - Woodlands East NPC,Snatch Theft,1, Woodlands East ,738070,1
2015,Jurong Police Division - Woodlands East NPC,Theft Of Motor Vehicle,13, Woodlands East ,738070,13
2015,Jurong Police Division - Woodlands East NPC,Outrage Of Modesty,33, Woodlands East ,738070,33
2015,Jurong Police Division - Woodlands West NPC,Robbery,6, Woodlands West ,738070,6
2015,Jurong Police Division - Woodlands West NPC,Housebreaking,12, Woodlands West ,738070,12
2015,Jurong Police Division - Woodlands West NPC,Snatch Theft,4, Woodlands West ,738070,4
2015,Jurong Police Division - Woodlands West NPC,Theft Of Motor Vehicle,15, Woodlands West ,738070,15
2015,Jurong Police Division - Woodlands West NPC,Outrage Of Modesty,45, Woodlands West ,738070,45
2015,Woodlands Police Division - Total,Robbery,-,[Total]Woodlands Police Division - Total,-,0
2015,Woodlands Police Division - Total,Housebreaking,-,[Total]Woodlands Police Division - Total,-,0
2015,Woodlands Police Division - Total,Snatch Theft,-,[Total]Woodlands Police Division - Total,-,0
2015,Woodlands Police Division - Total,Theft Of Motor Vehicle,-,[Total]Woodlands Police Division - Total,-,0
2015,Woodlands Police Division - Total,Outrage Of Modesty,-,[Total]Woodlands Police Division - Total,-,0
2015,Woodlands Police Division - Woodlands East NPC,Robbery,-, Woodlands East ,738070,0
2015,Woodlands Police Division - Woodlands East NPC,Housebreaking,-, Woodlands East ,738070,0
2015,Woodlands Police Division - Woodlands East NPC,Snatch Theft,-, Woodlands East ,738070,0
2015,Woodlands Police Division - Woodlands East NPC,Theft Of Motor Vehicle,-, Woodlands East ,738070,0
2015,Woodlands Police Division - Woodlands East NPC,Outrage Of Modesty,-, Woodlands East ,738070,0
2015,Woodlands Police Division - Woodlands West NPC,Robbery,-, Woodlands West ,738070,0
2015,Woodlands Police Division - Woodlands West NPC,Housebreaking,-, Woodlands West ,738070,0
2015,Woodlands Police Division - Woodlands West NPC,Snatch Theft,-, Woodlands West ,738070,0
2015,Woodlands Police Division - Woodlands West NPC,Theft Of Motor Vehicle,-, Woodlands West ,738070,0
2015,Woodlands Police Division - Woodlands West NPC,Outrage Of Modesty,-, Woodlands West ,738070,0
2015,Woodlands Police Division - Yishun North NPC,Robbery,-, Yishun North ,768827,0
2015,Woodlands Police Division - Yishun North NPC,Housebreaking,-, Yishun North ,768827,0
2015,Woodlands Police Division - Yishun North NPC,Snatch Theft,-, Yishun North ,768827,0
2015,Woodlands Police Division - Yishun North NPC,Theft Of Motor Vehicle,-, Yishun North ,768827,0
2015,Woodlands Police Division - Yishun North NPC,Outrage Of Modesty,-, Yishun North ,768827,0
2015,Woodlands Police Division - Yishun South NPC,Robbery,-, Yishun South ,768456,0
2015,Woodlands Police Division - Yishun South NPC,Housebreaking,-, Yishun South ,768456,0
2015,Woodlands Police Division - Yishun South NPC,Snatch Theft,-, Yishun South ,768456,0
2015,Woodlands Police Division - Yishun South NPC,Theft Of Motor Vehicle,-, Yishun South ,768456,0
2015,Woodlands Police Division - Yishun South NPC,Outrage Of Modesty,-, Yishun South ,768456,0
2015,Woodlands Police Division - Sembawang NPC,Robbery,-, Sembawang ,757633,0
2015,Woodlands Police Division - Sembawang NPC,Housebreaking,-, Sembawang ,757633,0
2015,Woodlands Police Division - Sembawang NPC,Snatch Theft,-, Sembawang ,757633,0
2015,Woodlands Police Division - Sembawang NPC,Theft Of Motor Vehicle,-, Sembawang ,757633,0
2015,Woodlands Police Division - Sembawang NPC,Outrage Of Modesty,-, Sembawang ,757633,0
2016,Central Police Division - Total,Robbery,15,[Total]Central Police Division - Total,-,15
2016,Central Police Division - Total,Housebreaking,18,[Total]Central Police Division - Total,-,18
2016,Central Police Division - Total,Snatch Theft,6,[Total]Central Police Division - Total,-,6
2016,Central Police Division - Total,Theft Of Motor Vehicle,13,[Total]Central Police Division - Total,-,13
2016,Central Police Division - Total,Outrage Of Modesty,164,[Total]Central Police Division - Total,-,164
2016,Central Police Division - Bukit Merah East NPC,Robbery,3, Bukit Merah East ,088762,3
2016,Central Police Division - Bukit Merah East NPC,Housebreaking,2, Bukit Merah East ,088762,2
2016,Central Police Division - Bukit Merah East NPC,Snatch Theft,2, Bukit Merah East ,088762,2
2016,Central Police Division - Bukit Merah East NPC,Theft Of Motor Vehicle,1, Bukit Merah East ,088762,1
2016,Central Police Division - Bukit Merah East NPC,Outrage Of Modesty,47, Bukit Merah East ,088762,47
2016,Central Police Division - Marina Bay NPC,Robbery,0, Marina Bay ,078870,0
2016,Central Police Division - Marina Bay NPC,Housebreaking,7, Marina Bay ,078870,7
2016,Central Police Division - Marina Bay NPC,Snatch Theft,1, Marina Bay ,078870,1
2016,Central Police Division - Marina Bay NPC,Theft Of Motor Vehicle,4, Marina Bay ,078870,4
2016,Central Police Division - Marina Bay NPC,Outrage Of Modesty,69, Marina Bay ,078870,69
2016,Central Police Division - Rochor NPC,Robbery,12, Rochor ,208678,12
2016,Central Police Division - Rochor NPC,Housebreaking,9, Rochor ,208678,9
2016,Central Police Division - Rochor NPC,Snatch Theft,3, Rochor ,208678,3
2016,Central Police Division - Rochor NPC,Theft Of Motor Vehicle,8, Rochor ,208678,8
2016,Central Police Division - Rochor NPC,Outrage Of Modesty,48, Rochor ,208678,48
2016,Clementi Police Division - Total,Robbery,5,[Total]Clementi Police Division - Total,-,5
2016,Clementi Police Division - Total,Housebreaking,26,[Total]Clementi Police Division - Total,-,26
2016,Clementi Police Division - Total,Snatch Theft,3,[Total]Clementi Police Division - Total,-,3
2016,Clementi Police Division - Total,Theft Of Motor Vehicle,16,[Total]Clementi Police Division - Total,-,16
2016,Clementi Police Division - Total,Outrage Of Modesty,153,[Total]Clementi Police Division - Total,-,153
2016,Clementi Police Division - Bukit Merah West NPC,Robbery,2, Bukit Merah West ,159682,2
2016,Clementi Police Division - Bukit Merah West NPC,Housebreaking,9, Bukit Merah West ,159682,9
2016,Clementi Police Division - Bukit Merah West NPC,Snatch Theft,1, Bukit Merah West ,159682,1
2016,Clementi Police Division - Bukit Merah West NPC,Theft Of Motor Vehicle,6, Bukit Merah West ,159682,6
2016,Clementi Police Division - Bukit Merah West NPC,Outrage Of Modesty,46, Bukit Merah West ,159682,46
2016,Clementi Police Division - Clementi NPC,Robbery,1, Clementi ,149725,1
2016,Clementi Police Division - Clementi NPC,Housebreaking,4, Clementi ,149725,4
2016,Clementi Police Division - Clementi NPC,Snatch Theft,0, Clementi ,149725,0
2016,Clementi Police Division - Clementi NPC,Theft Of Motor Vehicle,3, Clementi ,149725,3
2016,Clementi Police Division - Clementi NPC,Outrage Of Modesty,29, Clementi ,149725,29
2016,Clementi Police Division - Jurong East NPC,Robbery,1, Jurong East ,609962,1
2016,Clementi Police Division - Jurong East NPC,Housebreaking,3, Jurong East ,609962,3
2016,Clementi Police Division - Jurong East NPC,Snatch Theft,2, Jurong East ,609962,2
2016,Clementi Police Division - Jurong East NPC,Theft Of Motor Vehicle,3, Jurong East ,609962,3
2016,Clementi Police Division - Jurong East NPC,Outrage Of Modesty,31, Jurong East ,609962,31
2016,Clementi Police Division - Queenstown NPC,Robbery,1, Queenstown ,149725,1
2016,Clementi Police Division - Queenstown NPC,Housebreaking,10, Queenstown ,149725,10
2016,Clementi Police Division - Queenstown NPC,Snatch Theft,0, Queenstown ,149725,0
2016,Clementi Police Division - Queenstown NPC,Theft Of Motor Vehicle,4, Queenstown ,149725,4
2016,Clementi Police Division - Queenstown NPC,Outrage Of Modesty,47, Queenstown ,149725,47
2016,Tanglin Police Division - Total,Robbery,14,[Total]Tanglin Police Division - Total,-,14
2016,Tanglin Police Division - Total,Housebreaking,31,[Total]Tanglin Police Division - Total,-,31
2016,Tanglin Police Division - Total,Snatch Theft,4,[Total]Tanglin Police Division - Total,-,4
2016,Tanglin Police Division - Total,Theft Of Motor Vehicle,12,[Total]Tanglin Police Division - Total,-,12
2016,Tanglin Police Division - Total,Outrage Of Modesty,206,[Total]Tanglin Police Division - Total,-,206
2016,Tanglin Police Division - Bishan NPC,Robbery,4, Bishan ,579757,4
2016,Tanglin Police Division - Bishan NPC,Housebreaking,4, Bishan ,579757,4
2016,Tanglin Police Division - Bishan NPC,Snatch Theft,0, Bishan ,579757,0
2016,Tanglin Police Division - Bishan NPC,Theft Of Motor Vehicle,5, Bishan ,579757,5
2016,Tanglin Police Division - Bishan NPC,Outrage Of Modesty,22, Bishan ,579757,22
2016,Tanglin Police Division - Bukit Timah NPC,Robbery,0, Bukit Timah ,268914,0
2016,Tanglin Police Division - Bukit Timah NPC,Housebreaking,8, Bukit Timah ,268914,8
2016,Tanglin Police Division - Bukit Timah NPC,Snatch Theft,0, Bukit Timah ,268914,0
2016,Tanglin Police Division - Bukit Timah NPC,Theft Of Motor Vehicle,2, Bukit Timah ,268914,2
2016,Tanglin Police Division - Bukit Timah NPC,Outrage Of Modesty,17, Bukit Timah ,268914,17
2016,Tanglin Police Division - Kampong Java NPC,Robbery,2, Kampong Java ,228892,2
2016,Tanglin Police Division - Kampong Java NPC,Housebreaking,3, Kampong Java ,228892,3
2016,Tanglin Police Division - Kampong Java NPC,Snatch Theft,1, Kampong Java ,228892,1
2016,Tanglin Police Division - Kampong Java NPC,Theft Of Motor Vehicle,1, Kampong Java ,228892,1
2016,Tanglin Police Division - Kampong Java NPC,Outrage Of Modesty,25, Kampong Java ,228892,25
2016,Tanglin Police Division - Orchard NPC,Robbery,5, Orchard ,239572,5
2016,Tanglin Police Division - Orchard NPC,Housebreaking,8, Orchard ,239572,8
2016,Tanglin Police Division - Orchard NPC,Snatch Theft,0, Orchard ,239572,0
2016,Tanglin Police Division - Orchard NPC,Theft Of Motor Vehicle,3, Orchard ,239572,3
2016,Tanglin Police Division - Orchard NPC,Outrage Of Modesty,108, Orchard ,239572,108
2016,Tanglin Police Division - Toa Payoh NPC,Robbery,3, Toa Payoh ,319194,3
2016,Tanglin Police Division - Toa Payoh NPC,Housebreaking,8, Toa Payoh ,319194,8
2016,Tanglin Police Division - Toa Payoh NPC,Snatch Theft,3, Toa Payoh ,319194,3
2016,Tanglin Police Division - Toa Payoh NPC,Theft Of Motor Vehicle,1, Toa Payoh ,319194,1
2016,Tanglin Police Division - Toa Payoh NPC,Outrage Of Modesty,34, Toa Payoh ,319194,34
2016,Ang Mo Kio Police Division - Total,Robbery,17,[Total]Ang Mo Kio Police Division - Total,-,17
2016,Ang Mo Kio Police Division - Total,Housebreaking,39,[Total]Ang Mo Kio Police Division - Total,-,39
2016,Ang Mo Kio Police Division - Total,Snatch Theft,9,[Total]Ang Mo Kio Police Division - Total,-,9
2016,Ang Mo Kio Police Division - Total,Theft Of Motor Vehicle,32,[Total]Ang Mo Kio Police Division - Total,-,32
2016,Ang Mo Kio Police Division - Total,Outrage Of Modesty,258,[Total]Ang Mo Kio Police Division - Total,-,258
2016,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Robbery,3, Ang Mo Kio North ,569784,3
2016,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Housebreaking,4, Ang Mo Kio North ,569784,4
2016,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Snatch Theft,1, Ang Mo Kio North ,569784,1
2016,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Theft Of Motor Vehicle,5, Ang Mo Kio North ,569784,5
2016,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Outrage Of Modesty,24, Ang Mo Kio North ,569784,24
2016,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Robbery,2, Ang Mo Kio South ,569929,2
2016,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Housebreaking,3, Ang Mo Kio South ,569929,3
2016,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Snatch Theft,3, Ang Mo Kio South ,569929,3
2016,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Theft Of Motor Vehicle,1, Ang Mo Kio South ,569929,1
2016,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Outrage Of Modesty,29, Ang Mo Kio South ,569929,29
2016,Ang Mo Kio Police Division - Hougang NPC,Robbery,2, Hougang ,538775,2
2016,Ang Mo Kio Police Division - Hougang NPC,Housebreaking,7, Hougang ,538775,7
2016,Ang Mo Kio Police Division - Hougang NPC,Snatch Theft,3, Hougang ,538775,3
2016,Ang Mo Kio Police Division - Hougang NPC,Theft Of Motor Vehicle,10, Hougang ,538775,10
2016,Ang Mo Kio Police Division - Hougang NPC,Outrage Of Modesty,39, Hougang ,538775,39
2016,Ang Mo Kio Police Division - Punggol NPC,Robbery,2, Punggol ,828837,2
2016,Ang Mo Kio Police Division - Punggol NPC,Housebreaking,6, Punggol ,828837,6
2016,Ang Mo Kio Police Division - Punggol NPC,Snatch Theft,0, Punggol ,828837,0
2016,Ang Mo Kio Police Division - Punggol NPC,Theft Of Motor Vehicle,0, Punggol ,828837,0
2016,Ang Mo Kio Police Division - Punggol NPC,Outrage Of Modesty,25, Punggol ,828837,25
2016,Ang Mo Kio Police Division - Sembawang NPC,Robbery,0, Sembawang ,757633,0
2016,Ang Mo Kio Police Division - Sembawang NPC,Housebreaking,5, Sembawang ,757633,5
2016,Ang Mo Kio Police Division - Sembawang NPC,Snatch Theft,0, Sembawang ,757633,0
2016,Ang Mo Kio Police Division - Sembawang NPC,Theft Of Motor Vehicle,1, Sembawang ,757633,1
2016,Ang Mo Kio Police Division - Sembawang NPC,Outrage Of Modesty,16, Sembawang ,757633,16
2016,Ang Mo Kio Police Division - Sengkang NPC,Robbery,4, Sengkang ,545025,4
2016,Ang Mo Kio Police Division - Sengkang NPC,Housebreaking,1, Sengkang ,545025,1
2016,Ang Mo Kio Police Division - Sengkang NPC,Snatch Theft,1, Sengkang ,545025,1
2016,Ang Mo Kio Police Division - Sengkang NPC,Theft Of Motor Vehicle,2, Sengkang ,545025,2
2016,Ang Mo Kio Police Division - Sengkang NPC,Outrage Of Modesty,34, Sengkang ,545025,34
2016,Ang Mo Kio Police Division - Serangoon NPC,Robbery,2, Serangoon ,556129,2
2016,Ang Mo Kio Police Division - Serangoon NPC,Housebreaking,8, Serangoon ,556129,8
2016,Ang Mo Kio Police Division - Serangoon NPC,Snatch Theft,0, Serangoon ,556129,0
2016,Ang Mo Kio Police Division - Serangoon NPC,Theft Of Motor Vehicle,3, Serangoon ,556129,3
2016,Ang Mo Kio Police Division - Serangoon NPC,Outrage Of Modesty,28, Serangoon ,556129,28
2016,Ang Mo Kio Police Division - Yishun North NPC,Robbery,1, Yishun North ,768827,1
2016,Ang Mo Kio Police Division - Yishun North NPC,Housebreaking,5, Yishun North ,768827,5
2016,Ang Mo Kio Police Division - Yishun North NPC,Snatch Theft,1, Yishun North ,768827,1
2016,Ang Mo Kio Police Division - Yishun North NPC,Theft Of Motor Vehicle,5, Yishun North ,768827,5
2016,Ang Mo Kio Police Division - Yishun North NPC,Outrage Of Modesty,33, Yishun North ,768827,33
2016,Ang Mo Kio Police Division - Yishun South NPC,Robbery,1, Yishun South ,768456,1
2016,Ang Mo Kio Police Division - Yishun South NPC,Housebreaking,0, Yishun South ,768456,0
2016,Ang Mo Kio Police Division - Yishun South NPC,Snatch Theft,0, Yishun South ,768456,0
2016,Ang Mo Kio Police Division - Yishun South NPC,Theft Of Motor Vehicle,5, Yishun South ,768456,5
2016,Ang Mo Kio Police Division - Yishun South NPC,Outrage Of Modesty,29, Yishun South ,768456,29
2016,Bedok Police Division - Total,Robbery,31,[Total]Bedok Police Division - Total,-,31
2016,Bedok Police Division - Total,Housebreaking,45,[Total]Bedok Police Division - Total,-,45
2016,Bedok Police Division - Total,Snatch Theft,21,[Total]Bedok Police Division - Total,-,21
2016,Bedok Police Division - Total,Theft Of Motor Vehicle,41,[Total]Bedok Police Division - Total,-,41
2016,Bedok Police Division - Total,Outrage Of Modesty,239,[Total]Bedok Police Division - Total,-,239
2016,Bedok Police Division - Bedok North NPC,Robbery,1, Bedok North ,469676,1
2016,Bedok Police Division - Bedok North NPC,Housebreaking,6, Bedok North ,469676,6
2016,Bedok Police Division - Bedok North NPC,Snatch Theft,2, Bedok North ,469676,2
2016,Bedok Police Division - Bedok North NPC,Theft Of Motor Vehicle,4, Bedok North ,469676,4
2016,Bedok Police Division - Bedok North NPC,Outrage Of Modesty,44, Bedok North ,469676,44
2016,Bedok Police Division - Bedok South NPC,Robbery,2, Bedok South ,469045,2
2016,Bedok Police Division - Bedok South NPC,Housebreaking,6, Bedok South ,469045,6
2016,Bedok Police Division - Bedok South NPC,Snatch Theft,1, Bedok South ,469045,1
2016,Bedok Police Division - Bedok South NPC,Theft Of Motor Vehicle,4, Bedok South ,469045,4
2016,Bedok Police Division - Bedok South NPC,Outrage Of Modesty,22, Bedok South ,469045,22
2016,Bedok Police Division - Changi NPC,Robbery,3, Changi ,529914,3
2016,Bedok Police Division - Changi NPC,Housebreaking,0, Changi ,529914,0
2016,Bedok Police Division - Changi NPC,Snatch Theft,1, Changi ,529914,1
2016,Bedok Police Division - Changi NPC,Theft Of Motor Vehicle,3, Changi ,529914,3
2016,Bedok Police Division - Changi NPC,Outrage Of Modesty,17, Changi ,529914,17
2016,Bedok Police Division - Geylang NPC,Robbery,16, Geylang ,401094,16
2016,Bedok Police Division - Geylang NPC,Housebreaking,17, Geylang ,401094,17
2016,Bedok Police Division - Geylang NPC,Snatch Theft,9, Geylang ,401094,9
2016,Bedok Police Division - Geylang NPC,Theft Of Motor Vehicle,17, Geylang ,401094,17
2016,Bedok Police Division - Geylang NPC,Outrage Of Modesty,64, Geylang ,401094,64
2016,Bedok Police Division - Marine Parade NPC,Robbery,1, Marine Parade ,449296,1
2016,Bedok Police Division - Marine Parade NPC,Housebreaking,11, Marine Parade ,449296,11
2016,Bedok Police Division - Marine Parade NPC,Snatch Theft,1, Marine Parade ,449296,1
2016,Bedok Police Division - Marine Parade NPC,Theft Of Motor Vehicle,3, Marine Parade ,449296,3
2016,Bedok Police Division - Marine Parade NPC,Outrage Of Modesty,28, Marine Parade ,449296,28
2016,Bedok Police Division - Pasir Ris NPC,Robbery,1, Pasir Ris ,519457,1
2016,Bedok Police Division - Pasir Ris NPC,Housebreaking,0, Pasir Ris ,519457,0
2016,Bedok Police Division - Pasir Ris NPC,Snatch Theft,1, Pasir Ris ,519457,1
2016,Bedok Police Division - Pasir Ris NPC,Theft Of Motor Vehicle,3, Pasir Ris ,519457,3
2016,Bedok Police Division - Pasir Ris NPC,Outrage Of Modesty,32, Pasir Ris ,519457,32
2016,Bedok Police Division - Tampines NPC,Robbery,7, Tampines ,529682,7
2016,Bedok Police Division - Tampines NPC,Housebreaking,5, Tampines ,529682,5
2016,Bedok Police Division - Tampines NPC,Snatch Theft,6, Tampines ,529682,6
2016,Bedok Police Division - Tampines NPC,Theft Of Motor Vehicle,7, Tampines ,529682,7
2016,Bedok Police Division - Tampines NPC,Outrage Of Modesty,32, Tampines ,529682,32
2016,Jurong Police Division - Total,Robbery,14,[Total]Jurong Police Division - Total,-,14
2016,Jurong Police Division - Total,Housebreaking,53,[Total]Jurong Police Division - Total,-,53
2016,Jurong Police Division - Total,Snatch Theft,20,[Total]Jurong Police Division - Total,-,20
2016,Jurong Police Division - Total,Theft Of Motor Vehicle,51,[Total]Jurong Police Division - Total,-,51
2016,Jurong Police Division - Total,Outrage Of Modesty,254,[Total]Jurong Police Division - Total,-,254
2016,Jurong Police Division - Bukit Batok NPC,Robbery,1, Bukit Batok ,659840,1
2016,Jurong Police Division - Bukit Batok NPC,Housebreaking,7, Bukit Batok ,659840,7
2016,Jurong Police Division - Bukit Batok NPC,Snatch Theft,4, Bukit Batok ,659840,4
2016,Jurong Police Division - Bukit Batok NPC,Theft Of Motor Vehicle,2, Bukit Batok ,659840,2
2016,Jurong Police Division - Bukit Batok NPC,Outrage Of Modesty,35, Bukit Batok ,659840,35
2016,Jurong Police Division - Bukit Panjang NPC,Robbery,3, Bukit Panjang ,679005,3
2016,Jurong Police Division - Bukit Panjang NPC,Housebreaking,6, Bukit Panjang ,679005,6
2016,Jurong Police Division - Bukit Panjang NPC,Snatch Theft,0, Bukit Panjang ,679005,0
2016,Jurong Police Division - Bukit Panjang NPC,Theft Of Motor Vehicle,8, Bukit Panjang ,679005,8
2016,Jurong Police Division - Bukit Panjang NPC,Outrage Of Modesty,21, Bukit Panjang ,679005,21
2016,Jurong Police Division - Choa Chu Kang NPC,Robbery,1, Choa Chu Kang ,689286,1
2016,Jurong Police Division - Choa Chu Kang NPC,Housebreaking,13, Choa Chu Kang ,689286,13
2016,Jurong Police Division - Choa Chu Kang NPC,Snatch Theft,1, Choa Chu Kang ,689286,1
2016,Jurong Police Division - Choa Chu Kang NPC,Theft Of Motor Vehicle,7, Choa Chu Kang ,689286,7
2016,Jurong Police Division - Choa Chu Kang NPC,Outrage Of Modesty,34, Choa Chu Kang ,689286,34
2016,Jurong Police Division - Jurong West NPC,Robbery,3, Jurong West ,649818,3
2016,Jurong Police Division - Jurong West NPC,Housebreaking,8, Jurong West ,649818,8
2016,Jurong Police Division - Jurong West NPC,Snatch Theft,4, Jurong West ,649818,4
2016,Jurong Police Division - Jurong West NPC,Theft Of Motor Vehicle,4, Jurong West ,649818,4
2016,Jurong Police Division - Jurong West NPC,Outrage Of Modesty,49, Jurong West ,649818,49
2016,Jurong Police Division - Nanyang NPC,Robbery,2, Nanyang ,649482,2
2016,Jurong Police Division - Nanyang NPC,Housebreaking,8, Nanyang ,649482,8
2016,Jurong Police Division - Nanyang NPC,Snatch Theft,2, Nanyang ,649482,2
2016,Jurong Police Division - Nanyang NPC,Theft Of Motor Vehicle,9, Nanyang ,649482,9
2016,Jurong Police Division - Nanyang NPC,Outrage Of Modesty,46, Nanyang ,649482,46
2016,Jurong Police Division - Woodlands NPC,Robbery,na, Woodlands ,738070,0
2016,Jurong Police Division - Woodlands NPC,Housebreaking,na, Woodlands ,738070,0
2016,Jurong Police Division - Woodlands NPC,Snatch Theft,na, Woodlands ,738070,0
2016,Jurong Police Division - Woodlands NPC,Theft Of Motor Vehicle,na, Woodlands ,738070,0
2016,Jurong Police Division - Woodlands NPC,Outrage Of Modesty,na, Woodlands ,738070,0
2016,Jurong Police Division - Woodlands East NPC,Robbery,1, Woodlands East ,738070,1
2016,Jurong Police Division - Woodlands East NPC,Housebreaking,2, Woodlands East ,738070,2
2016,Jurong Police Division - Woodlands East NPC,Snatch Theft,3, Woodlands East ,738070,3
2016,Jurong Police Division - Woodlands East NPC,Theft Of Motor Vehicle,9, Woodlands East ,738070,9
2016,Jurong Police Division - Woodlands East NPC,Outrage Of Modesty,36, Woodlands East ,738070,36
